時間,資產合計,約定融資額度,應收保證款項,應收信用狀款項,信託資產,放款承諾責任,保證責任,信用狀責任,信託負債
98/9,2085658,,,,,90944,53261,13430,272120
93/3,1715308,,,,,176781,28725,13464,11070
110/12,3405630,664677,65929,11726,435363,,,,
103/9,2490699,,,,,908769,82234,9854,353977
93/12,1781634,,,,,178599,32464,17672,19475
104/3,2525489,,,,,896704,81209,9165,352075
105/12,2684556,628939,43610,11708,378430,,,,
98/3,2041107,,,,,110887,52458,14885,255985
103/6,2479131,,,,,928052,86808,11243,342706
94/12,1797807,,,,,329471,33555,13868,90062
105/9,2642108,646297,46728,8593,378448,,,,
97/9,2013055,,,,,84236,41728,19578,231750
103/3,2458975,,,,,911433,87006,10128,340538
98/6,2073441,,,,,101473,53820,14831,268654
100/6,2232107,,,,,832818,63907,12318,268230
109/9,3047685,628977,52416,10208,406260,,,,
106/12,2884359,649553,41350,12010,377137,,,,
100/3,2236709,,,,,62685,62364,13675,274550
109/3,2973515,628513,50391,9737,396277,,,,
103/12,2529395,,,,,918969,81790,8276,353783
107/9,2961873,663659,42210,11713,363544,,,,
95/9,1844786,,,,,378090,36270,16316,156808
109/6,3003513,615250,50266,8823,398809,,,,
108/12,3003510,679289,49673,9333,391945,,,,
100/9,2222707,,,,,193677,61750,12029,276906
108/6,3025051,692459,46942,7651,372299,,,,
108/3,2967276,631864,46292,8528,371578,,,,
97/3,1941514,,,,,72007,31708,19561,221222
105/3,2527692,,,,,710811,68259,8215,384371
96/12,1916405,,,,,133182,32945,19033,215989
108/9,2962508,707397,47661,7764,383500,,,,
107/12,3006922,606152,46546,8950,359885,,,,
107/6,2961259,668645,42991,11036,366526,,,,
95/6,1836859,,,,,321316,34912,16349,141382
95/12,1855450,,,,,367125,33743,15305,158680
99/6,2125351,,,,,20431,54552,16928,286561
102/3,2380888,,,,,98691,76668,11742,302906
102/6,2382555,,,,,124974,84267,10595,303956
99/12,2184906,,,,,63063,62133,14481,282001
99/3,2099206,,,,,11367,54276,16377,288115
104/12,2496821,,,,,739534,73302,7455,380551
102/9,2430519,,,,,91291,85070,10552,313745
105/6,2586936,712152,56185,8496,389915,,,,
97/6,1993294,,,,,96000,31368,21873,229050
95/3,1782290,,,,,312760,33691,13608,137662
107/3,2897730,666994,39806,10942,376638,,,,
99/9,2146032,,,,,11638,59334,15383,292228
109/12,3115809,646561,56384,8749,426266,,,,
101/9,2371600,,,,,201008,75440,12622,282791
100/12,2296523,,,,,169097,63230,10676,290316
104/9,2469007,,,,,783710,82365,7727,373577
96/9,1891279,,,,,110950,32382,14163,212419
102/12,2432394,,,,,2656,85656,11527,325772
106/9,2793627,607391,40700,12707,378623,,,,
94/9,1786779,,,,,320831,32855,14591,61373
110/9,3257864,678775,63217,10314,430674,,,,
110/6,3200967,677029,61162,11431,425192,,,,
111/12,3411964,667723,60732,8778,440253,,,,
110/3,3125879,672067,59256,8657,420446,,,,
111/3,3402053,667441,68092,11275,416755,,,,
96/3,1877448,,,,,333472,32288,17983,189277
111/6,3420982,665783,71619,10742,428647,,,,
106/6,2745069,611255,41229,11635,383493,,,,
94/6,1770637,,,,,311948,32881,15247,40566
101/3,2388155,,,,,146107,64084,11915,294924
111/9,3400686,637648,67612,8356,436447,,,,
98/12,2119366,,,,,20667,53844,13348,283936
97/12,2061105,,,,,83130,52763,14498,240213
112/9,3455888,668367,67529,8629,443288,,,,
104/6,2455280,,,,,832582,79784,7576,359290
96/6,1873289,,,,,130377,31845,14996,203049
101/6,2407541,,,,,220307,72348,12849,283271
94/3,1791752,,,,,307141,32621,16777,34346
106/3,2711252,588664,44008,12358,378929,,,,
112/3,3357284,678889,68532,7994,431569,,,,
101/12,2399007,,,,,143447,75133,11647,294127
112/6,3463599,696823,65538,7762,434012,,,,
